city,latitude,longitude
"Huntington Beach,CA",33.696,-118.0025
"Deltona,FL",28.905,-81.2137
"Aurora,IL",41.7637,-88.2901
"Tempe,AZ",33.3881,-111.9318
"Overland Park,KS",38.887,-94.687
"Grand Prairie,TX",32.6872,-97.0209
"Waco,TX",31.5598,-97.1881
"Salinas,CA",36.6884,-121.6317
"Waterbury,CT",41.5583,-73.0361
"Clarksville,TN",36.5695,-87.342
"Cedar Rapids,IA",41.9665,-91.6782
"Sioux Falls,SD",43.5397,-96.732
"Ontario,CA",34.0393,-117.6064
"Vancouver,WA",45.6366,-122.5967
"Nampa,ID",43.5845,-116.5631
"Spartanburg,SC",34.9437,-81.9257
"Gastonia,NC",35.2494,-81.1853
"Fort Lauderdale,FL",26.1412,-80.1464
"High Point,NC",35.9907,-79.9938
"Newport News,VA",37.1051,-76.5185
"Hemet,CA",33.7341,-116.9969
"Santa Cruz,CA",36.9789,-122.0346
"Danbury,CT",41.4016,-73.471
"Peoria,AZ",33.7844,-112.2989
"Oceanside,CA",33.2247,-117.3083
"Elk Grove,CA",38.416,-121.3842
"Vallejo,CA",38.1133,-122.2358
"Garden Grove,CA",33.7787,-117.9601
"Medford,OR",42.3372,-122.8537
"Cary,NC",35.782,-78.8191
"Marysville,WA",48.0809,-122.1561
"Ocala,FL",29.178,-82.1511
"Fredericksburg,VA",38.2992,-77.4872
"Gainesville,GA",34.2903,-83.8301
"Manchester,NH",42.9848,-71.4447
"Alexandria,VA",38.8185,-77.0861
"Hayward,CA",37.6328,-122.0772
"Springfield,IL",39.771,-89.6538
"Lakewood,CO",39.6977,-105.1168
"Lafayette,IN",40.399,-86.8594
"Frederick,MD",39.4336,-77.4141
"Lake Charles,LA",30.2012,-93.2122
"Odessa,TX",31.8831,-102.3406
"Tuscaloosa,AL",33.2348,-87.5267
"Palmdale,CA",34.5944,-118.1057
"Hollywood,FL",26.0294,-80.1679
"Midland,TX",32.0249,-102.1137
"Leesburg,FL",28.7657,-81.8996
"Port Arthur,TX",29.8554,-93.9264
"Macon,GA",32.8065,-83.6974
"Kansas City,KS",39.1234,-94.7443
"Sunnyvale,CA",37.3836,-122.0256
"Pomona,CA",34.0585,-117.7626
"Escondido,CA",33.1347,-117.0722
"Pasadena,TX",29.6583,-95.1499
"Fairfield,CA",38.2592,-122.0324
"Elkhart,IN",41.6916,-85.9628
"Topeka,KS",39.0346,-95.6955
"Joliet,IL",41.5189,-88.1499
"Beaumont,TX",30.0849,-94.1451
"Paterson,NJ",40.9147,-74.1624
"Merced,CA",37.3057,-120.4778
"Pueblo,CO",38.2705,-104.6112
"Torrance,CA",33.8346,-118.3417
"Yuma,AZ",32.5992,-114.5488
"Metairie,LA",29.9977,-90.178
"Surprise,AZ",33.68,-112.4524
"Columbia,MO",38.9478,-92.3256
"Athens,GA",33.9508,-83.3689
"Roseville,CA",38.7703,-121.3196
"Thornton,CO",39.9197,-104.9438
"Miramar,FL",25.9773,-80.3351
"Pasadena,CA",34.1597,-118.139
"Mesquite,TX",32.7623,-96.5889
"Olathe,KS",38.8832,-94.8198
"Santa Maria,CA",34.9334,-120.4432
"Houma,LA",29.5799,-90.7058
"Carrollton,TX",32.989,-96.8999
"Grand Junction,CO",39.0876,-108.5673
"Charleston,WV",38.3484,-81.6323
"Orange,CA",33.8038,-117.8218
"Fullerton,CA",33.8841,-117.9279
"Greeley,CO",40.4151,-104.7706
"Las Cruces,NM",32.3265,-106.7892
"Panama City,FL",30.1995,-85.6004
"West Valley City,UT",40.6889,-112.0115
"Hampton,VA",37.0551,-76.363
"Warren,MI",42.4934,-83.027
"Round Rock,TX",30.5254,-97.666
"Yakima,WA",46.5923,-120.5496
"Kent,WA",47.3887,-122.2129
"Burlington,NC",36.0758,-79.4686
"Bellingham,WA",48.7543,-122.4687
"Santa Clara,CA",37.3645,-121.968
"Racine,WI",42.7274,-87.8135
"Greenville,NC",35.5956,-77.3768
"Stamford,CT",41.1035,-73.5583
"Johnson City,TN",36.3406,-82.3803
"Lynchburg,VA",37.4003,-79.1909
"Fort Smith,AR",35.3493,-94.3695
"Kenosha,WI",42.5864,-87.8765
"Norman,OK",35.2335,-97.3471
"Boulder,CO",40.0249,-105.2523
"Abilene,TX",32.4543,-99.7384
"Pearland,TX",29.5585,-95.3215
"Redding,CA",40.5698,-122.365
"Arvada,CO",39.8321,-105.1511
"East Los Angeles,CA",34.0326,-118.1691
"Billings,MT",45.7891,-108.5524
"Yuba City,CA",39.1357,-121.6381
"Kingsport,TN",36.5224,-82.5453
"Gilroy,CA",37.0047,-121.5855
"Saginaw,MI",43.4199,-83.9501
"Chico,CA",39.7575,-121.8152
"Dover,DE",39.161,-75.5203
"Clearwater,FL",27.9789,-82.7622
"Coeur d'Alene,ID",47.7041,-116.7935
"Independence,MO",39.0871,-94.3501
"West Jordan,UT",40.6024,-112.0008
"El Monte,CA",34.0739,-118.0291
"North Charleston,SC",32.9066,-80.0722
"St. Cloud,MN",45.5339,-94.1718
"Temecula,CA",33.4928,-117.1315
"Clovis,CA",36.8278,-119.6831
"Meridian,ID",43.6112,-116.3968
"Westminster,CO",39.8837,-105.0624
"Monroe,LA",32.5183,-92.0774
"Pompano Beach,FL",26.2428,-80.1312
"West Palm Beach,FL",26.7468,-80.1316
"Everett,WA",47.9525,-122.1669
"El Centro,CA",32.7867,-115.5586
"Santa Fe,NM",35.6619,-105.9819
"Downey,CA",33.9379,-118.1312
"Spring Hill,FL",28.4797,-82.53
"Lowell,MA",42.6389,-71.3217
"Centennial,CO",39.5926,-104.8674
"Elgin,IL",42.0385,-88.3229
"Richmond,CA",37.9477,-122.339
"Miami Gardens,FL",25.9433,-80.2426
"Bend,OR",44.0562,-121.3087
"Burlington,VT",44.4877,-73.2314
"Jurupa Valley,CA",34.001,-117.4705
"Gresham,OR",45.5023,-122.4413
"Hillsboro,OR",45.5272,-122.9361
"Pottstown,PA",40.2507,-75.6444
"Inglewood,CA",33.9566,-118.3444
"League City,TX",29.4873,-95.1087
"Eau Claire,WI",44.8199,-91.4949
"Turlock,CA",37.5053,-120.8588
"Temple,TX",31.1076,-97.3894
"Sioux City,IA",42.4959,-96.3901
"Salisbury,MD",38.3756,-75.5867
"Davie,FL",26.0789,-80.287
"Daly City,CA",37.6862,-122.4685
"Allen,TX",33.1088,-96.6735
"West Covina,CA",34.0555,-117.9112
"Sparks,NV",39.5729,-119.7157
"Wichita Falls,TX",33.9072,-98.5291
"San Mateo,CA",37.5521,-122.3122
"Columbia,MD",39.2004,-76.859
"Norwalk,CA",33.9069,-118.0829
"Rialto,CA",34.1174,-117.3894
"El Cajon,CA",32.8017,-116.9605
"Burbank,CA",34.1879,-118.3235
"Longmont,CO",40.1686,-105.1005
"Renton,WA",47.4784,-122.1919
"Vista,CA",33.1896,-117.2386
"Logan,UT",41.74,-111.8419
"Vacaville,CA",38.359,-121.968
"Edinburg,TX",26.3197,-98.1596
"San Angelo,TX",31.4424,-100.4506
"La Crosse,WI",43.824,-91.2268
"Idaho Falls,ID",43.4872,-112.0362
"Charlottesville,VA",38.0375,-78.4855
"Longview,TX",32.5193,-94.7621
"Lee's Summit,MO",38.9172,-94.3816
"Beaverton,OR",45.4779,-122.8168
"Lawrence,KS",38.9597,-95.2641
"Bismarck,ND",46.8144,-100.7694
"San Marcos,CA",33.135,-117.1744
"Sandy,UT",40.571,-111.8505
"Federal Way,WA",47.3091,-122.3358
"Mandeville,LA",30.3751,-90.0904
"Hesperia,CA",34.3975,-117.3147
"Brockton,MA",42.0821,-71.0242
"Compton,CA",33.893,-118.2275
"Riverview,FL",27.8227,-82.3023
"Fishers,IN",39.9589,-85.9661
"Sunrise,FL",26.1547,-80.2997
"Bowling Green,KY",36.9719,-86.4373
"Roswell,GA",34.0391,-84.3513
"Menifee,CA",33.6909,-117.1849
"Plantation,FL",26.126,-80.2617
"Portsmouth,VA",36.8468,-76.354
"Chino,CA",33.9836,-117.6654
"Lynn,MA",42.4779,-70.9663
"Edmond,OK",35.6689,-97.4159
"Hanford,CA",36.3274,-119.6549
"Dearborn,MI",42.3127,-83.2129
"South Gate,CA",33.9448,-118.1926
"Vineland,NJ",39.4653,-74.9981
"Florence,SC",34.1781,-79.7877
"Slidell,LA",30.2881,-89.7826
"Lawton,OK",34.6176,-98.4203
"Kirkland,WA",47.6974,-122.2054
"Missoula,MT",46.875,-114.0214
"Rapid City,SD",44.0716,-103.2204
"Terre Haute,IN",39.4654,-87.3763
"Suffolk,VA",36.6953,-76.6398
"Carson,CA",33.8374,-118.2559
"Conroe,TX",30.3239,-95.4825
"Livermore,CA",37.6862,-121.7608
"Santa Monica,CA",34.0232,-118.4813
"Fall River,MA",41.7137,-71.1014
"Albany,GA",31.5776,-84.1762
"Miami Beach,FL",25.8171,-80.1396
"San Leandro,CA",37.7071,-122.1601
"O'Fallon,MO",38.785,-90.7175
"Muncie,IN",40.1989,-85.395
"Citrus Heights,CA",38.6948,-121.288
"State College,PA",40.7909,-77.8568
"Jackson,MI",42.2431,-84.4037
"Fort Myers,FL",26.6195,-81.8303
"Goodyear,AZ",33.2613,-112.3622
"Waukegan,IL",42.3697,-87.8716
"Hawthorne,CA",33.9146,-118.3476
"Redwood City,CA",37.5026,-122.2252
"Hoover,AL",33.3754,-86.8064
"Napa,CA",38.2976,-122.3011
"Whittier,CA",33.9678,-118.0188
"Largo,FL",27.9088,-82.7711
"Bloomington,MN",44.8306,-93.3151
"Johns Creek,GA",34.0333,-84.2027
"Newport Beach,CA",33.6151,-117.8669
"Mission,TX",26.2041,-98.3251
"Troy,MI",42.5818,-83.1457
"Madera,CA",36.9631,-120.0782
"Joplin,MO",37.0758,-94.5018
"Chino Hills,CA",33.9508,-117.7253
"Alhambra,CA",34.084,-118.1355
"Franklin,TN",35.9216,-86.8525
"Melbourne,FL",28.1085,-80.6627
"Springfield,OH",39.9297,-83.7957
"St. Augustine,FL",29.8977,-81.31
"Flagstaff,AZ",35.1872,-111.6195
"Pleasanton,CA",37.6663,-121.8805
"Silver Spring,MD",39.0028,-77.0207
"Auburn,WA",47.3039,-122.2108
"Springdale,AR",36.1899,-94.1574
"Hattiesburg,MS",31.3074,-89.317
"Alexandria,LA",31.2923,-92.4702
"Florence,AL",34.8303,-87.6654
"Valdosta,GA",30.8502,-83.2788
"Plymouth,MN",45.0225,-93.4618
"Buckeye,AZ",33.4314,-112.6429
"Georgetown,TX",30.6668,-97.6953
"Cheyenne,WY",41.1351,-104.79
"The Villages,FL",28.9021,-81.9888
"Kokomo,IN",40.464,-86.1277
"Tustin,CA",33.7309,-117.8106
"Lakewood,CA",33.8471,-118.1221
"St. Joseph,MO",39.7599,-94.821
"Pharr,TX",26.1685,-98.1904
"Alton,IL",38.9034,-90.1523
"Loveland,CO",40.4166,-105.0623
"Boynton Beach,FL",26.5281,-80.0811
"New Rochelle,NY",40.9305,-73.7836
"Anderson,SC",34.5211,-82.6479
"Jonesboro,AR",35.8212,-90.6791
"Parma,OH",41.3843,-81.7286
"Layton,UT",41.0769,-111.9621
"Elizabethtown,KY",37.703,-85.877
"Watsonville,CA",36.9206,-121.7706
"Porterville,CA",36.0644,-119.0338
"Baytown,TX",29.7586,-94.9669
"Davis,CA",38.5552,-121.7365
"Camarillo,CA",34.223,-119.0322
"Battle Creek,MI",42.2986,-85.2296
"Bellflower,CA",33.888,-118.1271
"San Marcos,TX",29.8736,-97.9381
"Lake Jackson,TX",29.0516,-95.4522
"Wyoming,MI",42.8909,-85.7066
"Oshkosh,WI",44.0228,-88.5619
"Missouri City,TX",29.563,-95.5365
"Pasco,WA",46.2506,-119.1304
"Rancho Cordova,CA",38.574,-121.2523
"Gary,IN",41.5906,-87.3472
"Lodi,CA",38.1218,-121.2932
"Winchester,VA",39.1735,-78.1746
"Union City,CA",37.603,-122.0187
"Owensboro,KY",37.7574,-87.1173
"Wausau,WI",44.962,-89.6459
"Camden,NJ",39.9362,-75.1073
"Anniston,AL",33.6712,-85.8136
"Apple Valley,CA",34.5328,-117.2104
"Mansfield,OH",40.7656,-82.5275
"Southfield,MI",42.4765,-83.2605
"Pittsburg,CA",38.0182,-121.8964
"New Britain,CT",41.6758,-72.7862
"Morgantown,WV",39.638,-79.9468
"Mansfield,TX",32.569,-97.1211
"Hammond,LA",30.5061,-90.4563
"Harrisonburg,VA",38.4361,-78.8735
"Wenatchee,WA",47.4356,-120.3283
"Waukesha,WI",43.0087,-88.2464
"Pawtucket,RI",41.8744,-71.3743
"Lauderhill,FL",26.1605,-80.2242
"Sumter,SC",33.9392,-80.393
"Redlands,CA",34.0511,-117.1712
"Daphne,AL",30.6286,-87.8866
"Sherman,TX",33.6274,-96.6218
"Broomfield,CO",39.9541,-105.0527
"Bristol,TN",36.5572,-82.2154
"Wilmington,DE",39.7415,-75.5413
"Walnut Creek,CA",37.9024,-122.0398
"Poinciana,FL",28.1217,-81.482
"Lynwood,CA",33.924,-118.2017
"Glen Burnie,MD",39.1559,-76.6072
"Homestead,FL",25.4665,-80.4472
"Delray Beach,FL",26.455,-80.0905
"Sheboygan,WI",43.7403,-87.7316
"Lake Elsinore,CA",33.6847,-117.3344
"Daytona Beach,FL",29.1994,-81.0982
"Los Lunas,NM",34.8115,-106.7803
"Lima,OH",40.741,-84.1121
"Rocklin,CA",38.8075,-121.2488
"Bossier City,LA",32.5227,-93.6666
"Rockville,MD",39.0834,-77.1552
"Victoria,TX",28.8285,-96.985
"West Des Moines,IA",41.5522,-93.7805
"Yorba Linda,CA",33.889,-117.7714
"Casper,WY",42.842,-106.3207
"Ankeny,IA",41.7285,-93.6033
"Mount Vernon,NY",40.9136,-73.8291
"Lakeville,MN",44.6774,-93.252
"Longview,WA",46.1461,-122.9629
"Redondo Beach,CA",33.8574,-118.3766
"Tamarac,FL",26.2056,-80.2542
"Eagan,MN",44.8169,-93.1638
"Kenner,LA",30.0109,-90.2549
"Bay City,MI",43.5903,-83.8886
"North Little Rock,AR",34.7808,-92.2371
"Jupiter,FL",26.9199,-80.1128
"Weirton,WV",40.406,-80.5671
"Tulare,CA",36.1996,-119.34
"Wellington,FL",26.6461,-80.2699
"Palo Alto,CA",37.3913,-122.1468
"Schenectady,NY",42.8025,-73.9276
"Great Falls,MT",47.5022,-111.2995
"Port Orange,FL",29.1084,-81.0137
"Grand Forks,ND",47.9218,-97.0886
"Carmichael,CA",38.6337,-121.323
"Beloit,WI",42.523,-89.0184
"Brentwood,NY",40.7839,-73.2522
"Fairbanks,AK",64.8353,-147.6534
"Springfield,OR",44.0538,-122.981
"Johnstown,PA",40.3258,-78.9193
"Dundalk,MD",39.2703,-76.4942
"Coon Rapids,MN",45.1755,-93.3095
"Elmira,NY",42.0938,-76.8097
"Mankato,MN",44.1712,-93.9773
"Encinitas,CA",33.049,-117.2613
"Port Charlotte,FL",26.9918,-82.114
"Sebring,FL",27.477,-81.453
"Council Bluffs,IA",41.2369,-95.8517
"Hamilton,OH",39.3938,-84.5653
"Moore,OK",35.3293,-97.4758
"Pico Rivera,CA",33.9902,-118.0888
"Casa Grande,AZ",32.9068,-111.7624
"Montebello,CA",34.0155,-118.1108
"Millcreek,UT",40.6892,-111.8291
"Burnsville,MN",44.7648,-93.2795
"Morristown,TN",36.2046,-83.3006
"Lakewood,WA",47.1628,-122.5299
"Spring,TX",30.0613,-95.383
"Marietta,GA",33.9533,-84.5422
"Commerce City,CO",39.8642,-104.8434
"West Allis,WI",43.0068,-88.0296
"Bangor,ME",44.8322,-68.7906
"Greenwood,IN",39.6019,-86.1073
"Bartlett,TN",35.2337,-89.8195
"Bradenton,FL",27.49,-82.5739
"Gardena,CA",33.8944,-118.3073
"Apex,NC",35.7239,-78.8728
"Royal Oak,MI",42.5084,-83.1539
"Benton Harbor,MI",42.1159,-86.4488
"St. Clair Shores,MI",42.4921,-82.8957
"Des Plaines,IL",42.0345,-87.9009
"Midland,MI",43.6241,-84.2319
"Carson City,NV",39.1512,-119.7474
"Middletown,NY",41.4459,-74.4236
"Caldwell,ID",43.6453,-116.6591
"Richland,WA",46.2824,-119.2938
"Hendersonville,TN",36.3063,-86.5998
"Huntersville,NC",35.4058,-80.8727
"Jefferson City,MO",38.5676,-92.1759
"Beckley,WV",37.7878,-81.1841
"Titusville,FL",28.5727,-80.8193
"Cartersville,GA",34.1639,-84.8007
"Weymouth,MA",42.1984,-70.9466
"Parker,CO",39.5084,-104.7753
"Palm Beach Gardens,FL",26.8466,-80.1679
"Bozeman,MT",45.6832,-111.0552
"East Stroudsburg,PA",41.0023,-75.1779
"Huntington Park,CA",33.98,-118.2167
"Taunton,MA",41.9036,-71.0943
"Midwest City,OK",35.463,-97.3709
"Euless,TX",32.8508,-97.0799
"Lake Havasu City,AZ",34.5006,-114.3113
"Smyrna,GA",33.8633,-84.5168
"Cape Girardeau,MO",37.3108,-89.5597
"Kendale Lakes,FL",25.7081,-80.4078
"Grants Pass,OR",42.4333,-123.3317
"Blue Springs,MO",39.0124,-94.2721
"Southaven,MS",34.9514,-89.9787
"Pittsfield,MA",42.4517,-73.2605
"New Brunswick,NJ",40.487,-74.445
"Highland,CA",34.1113,-117.1654
"Fountain Valley,CA",33.7105,-117.9514
"Fond du Lac,WI",43.7718,-88.4396
"Hacienda Heights,CA",33.997,-117.9728
"Ithaca,NY",42.4442,-76.5032
"Cathedral City,CA",33.8363,-116.4642
"Delano,CA",35.767,-119.2637
"Bentonville,AR",36.3546,-94.2306
"Kettering,OH",39.6957,-84.1495
"Colton,CA",34.0538,-117.3254
"West Haven,CT",41.2739,-72.9672
"St. Cloud,FL",28.2294,-81.2829
"Aloha,OR",45.492,-122.8726
"Rosemead,CA",34.0689,-118.0823
"Elyria,OH",41.3761,-82.1063
"Pinellas Park,FL",27.8589,-82.7078
"Apopka,FL",28.7014,-81.5304
"Grand Island,NE",40.9214,-98.3584
"Revere,MA",42.4192,-71.0036
"DeSoto,TX",32.5992,-96.8633
"Helena,MT",46.5965,-112.0202
"Lacey,WA",47.046,-122.7934
"Summerville,SC",33.0015,-80.1799
"Maricopa,AZ",33.0404,-112.0006
"Lompoc,CA",34.6618,-120.4714
"Kentwood,MI",42.8852,-85.5925
"Sierra Vista,AZ",31.563,-110.3153
"Madison,AL",34.7114,-86.7626
"Smyrna,TN",35.9722,-86.5253
"Glendora,CA",34.1449,-117.8468
"Burien,WA",47.4762,-122.3394
"Farmington,NM",36.7555,-108.1823
"Beaumont,CA",33.9076,-116.9766
"Collierville,TN",35.0471,-89.6988
"Florissant,MO",38.7996,-90.3269
"Galveston,TX",29.2487,-94.891
"Bullhead City,AZ",35.1205,-114.546
"Stillwater,OK",36.1316,-97.074
"Azusa,CA",34.1386,-117.9124
"Cerritos,CA",33.8677,-118.0686
"Enid,OK",36.4061,-97.8701
"Oroville,CA",39.4999,-121.5634
"Wilson,NC",35.7312,-77.9284
"Lawrence,IN",39.8674,-85.9905
"Portage,MI",42.2,-85.5906
"Dunwoody,GA",33.9418,-84.3122
"Poway,CA",32.9871,-117.0201
"Troy,NY",42.7354,-73.6751
"Newark,CA",37.5204,-122.0312
"Bedford,TX",32.8464,-97.135
"Marana,AZ",32.4355,-111.1558
"Roswell,NM",33.373,-104.5294
"Ceres,CA",37.5953,-120.9625
"St. Louis Park,MN",44.9488,-93.3649
"Draper,UT",40.4957,-111.8605
"Palm Springs,CA",33.8017,-116.5382
"Findlay,OH",41.0467,-83.6379
"Antelope,CA",38.7153,-121.361
"Lincoln,CA",38.8759,-121.2916
"La Mirada,CA",33.9025,-118.0093
"Farmers Branch,TX",32.9272,-96.8804
"Jeffersonville,IN",38.3376,-85.7026
